iggdb_species_id	iggdb_species_name	taxonomy	gut_mags	ref_genomes	ncbi_id
159772	Lachnospiraceae sp. HGM-727	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	2	0	186803
161052	Flavonifractor sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__D16;s__	0	3	1193534
170761	Anaerobiospirillum succiniciproducens	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens	1	1	13335
170903	Butyricimonas sp.	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas	7	1	574697
181136	Staphylococcus sp.	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-313;g__CAG-313;s__	25	1	1279
181904	Gordonibacter massiliensis	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Gordonibacter	0	1	1841863
186975	Clostridium sp. HGM-1226	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-127	1	0	1485
175381	Collinsella sp. HGM-396	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	7	0	102106
171972	Ruminococcus sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans	374	7	165186
178249	Rubeoparvulum massiliense	d__Bacteria;p__Firmicutes;c__Bacilli_A;o__Rubeoparvulales;f__Rubeoparvulaceae;g__Rubeoparvulum;s__Rubeoparvulum massiliense	0	1	1631346
153723	Citrobacter sp.	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter;s__Citrobacter freundii_B	0	6	546
162865	Lactobacillus paracasei	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_C;s__Lactobacillus_C paracasei	20	109	1597
164432	Mycoplasma sp.	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-605;s__	1	1	2093
171538	Roseburia faecis	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	320	6	301302
172203	Slackia sp. HGM-261	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia	14	0	84108
173966	Clostridium sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__	1	2	59620
180595	Clostridium sp. HGM-1011	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp1	1	0	1485
180562	Ruminococcus sp.	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum_A	0	1	165186
177267	Proteobacteria sp. HGM-1315	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Parasutterella	1	0	1224
