species_id	species_alt_id	max_complete	min_contam	max_qs
OTU-08441	206722	96.45	0.65	93.19999706745148
OTU-16551	206727	81.54	0.87	75.66999661922455
OTU-08819	206731	97.8	0	69.7000036239624
OTU-16149	206734	70.2	0	70.19999694824219
OTU-15102	206735	68.91	0	63.96000361442566
OTU-18908	206737	100	1.19	94.0499997138977
OTU-15100	206738	64.35	0.19	63.39999848604202
OTU-16500	206740	97.13	0	94.42999714612961
OTU-16642	206741	86.9	0	80.95000123977661
OTU-16574	206744	63.52	0	63.34000015258789
OTU-01148	206746	74.13	0.8	62.12999677658081
OTU-15657	206748	83.05	0	83.05000305175781
OTU-07548	206750	71.93	0	71.93000030517578
OTU-15161	206753	72.26	0	72.26000213623047
OTU-15693	206754	76.15	0	76.1500015258789
OTU-15451	206758	75.67	0.56	70.63000029325485
OTU-14631	206763	96.97	3.23	61.010000228881836
OTU-05244	206769	84.83	0.38	75.86000216007233
OTU-16141	206781	83.52	1.1	67.01999688148499
OTU-15376	206786	60.63	0	60.630001068115234
OTU-23204	206796	85.58	0	85.58000183105469
OTU-15239	206802	70.95	0	70.52999877929688
OTU-12389	206812	91.32	0.69	82.63999634981155
OTU-21687	206813	90.2	5.31	57.7199969291687
OTU-11758	206814	100	0	100
OTU-15325	206823	62.19	0.93	57.5399985909462
OTU-00006	206825	95.02	0.93	90.36999660730362
OTU-15441	206830	77.01	0	77.01000213623047
OTU-10454	206844	99.86	0.37	98.0100005865097
OTU-16516	206847	99.13	0	99.12999725341797
OTU-05761	206852	98.65	0.99	82.90000104904175
OTU-15107	206854	69.91	0	69.91000366210938
OTU-13977	206858	92.74	0	88.6899978518486
OTU-14884	206864	71.78	0	69.67999884486198
OTU-07858	206885	93.6	0	86.93000030517578
OTU-18258	206887	96.21	0.2	85.55999851226807
OTU-16291	206892	94.62	0	94.62000274658203
OTU-14635	206904	87.83	2.58	53.72000312805176
OTU-05260	206915	94.34	0.13	92.43999636173248
OTU-18091	206916	76.55	0	76.55000305175781
OTU-14378	206918	77.96	0	57.7599983215332
OTU-09076	206929	95.27	0.41	84.81999707221985
OTU-15616	206932	58.56	0	58.560001373291016
OTU-15328	206943	75.52	0	62.66000211238861
OTU-13901	206956	89.21	0.63	86.05999910831451
OTU-01379	206979	84.62	0	68.0999984741211
OTU-23695	206982	97.96	0	97.95999908447266
OTU-05395	206987	78.49	0	75.78999775648117
OTU-15692	206993	74.97	0	74.97000122070312
OTU-21100	207000	66.99	1.91	57.43999803066254
OTU-14476	207001	86.81	0.1	80.4099977016449
OTU-07537	207005	80.88	0	80.87999725341797
OTU-12751	207009	93.29	0.34	89.94000083208084
OTU-15064	207010	78.54	0	71.59000098705292
OTU-05725	207013	96.77	1.61	86.01999616622925
OTU-07425	207015	99.61	0	99.61000061035156
OTU-14482	207031	70.15	0	60.61000061035156
OTU-15181	207040	69.31	0	67.33000183105469
OTU-07828	207053	87.21	0	87.20999908447266
OTU-01215	207062	76.8	0	64.80000257492065
OTU-23022	207063	84.35	3.23	68.19999837875366
OTU-07790	207083	83.83	0	83.83000183105469
OTU-06524	207090	98.94	0.44	93.49000227451324
OTU-07752	207091	78.38	0.99	65.72999739646912
OTU-15378	207109	54.91	0	54.90999984741211
OTU-06967	207111	92.37	0	84.37999725341797
OTU-15143	207116	53.57	0	52.63999938964844
OTU-22817	207127	80.68	0	68.28000020980835
OTU-06884	207140	99.65	0	95.03999948501587
OTU-15045	207141	80.9	1.12	69.88999783992767
OTU-18069	207147	99.22	1.22	83.95000290870667
OTU-19981	207151	94.98	0.99	89.4800032377243
OTU-02849	207154	100	0.6	96.99999988079071
OTU-16448	207155	98.27	0.81	82.71999663114548
OTU-15094	207156	64.85	1.85	44.509998202323914
OTU-23752	207159	90.19	0.4	87.63999935984612
OTU-00172	207167	99.51	0	95.1500015258789
OTU-15106	207168	70.37	0	70.37000274658203
OTU-12747	207181	85.89	0	85.88999938964844
OTU-15589	207187	75.95	0	75.94999694824219
OTU-16714	207199	85.61	1.74	76.68999934196472
OTU-14682	207200	95.16	0	72.96000337600708
OTU-15944	207224	94.74	2.4	76.44000196456909
OTU-15092	207233	69.6	0	69.5999984741211
OTU-00761	207242	75.23	0	72.43000030517578
OTU-07785	207246	70.96	0	66.00999903678894
OTU-21886	207254	88.09	0.14	84.68999630212784
OTU-15518	207266	71.34	3.85	52.08999681472778
OTU-00441	207269	99.35	0	99.3499984741211
OTU-15079	207274	71.78	0	66.82999873161316
OTU-15218	207275	67.08	0	53.91999816894531
OTU-15850	207276	85.51	1.14	76.0200012922287
OTU-13194	207280	77.55	0.91	62.22999864816666
OTU-01273	207301	82.2	0	82.19999694824219
OTU-07559	207310	87.79	2.97	71.73000168800354
OTU-15806	207311	67.77	2.45	55.51999640464783
OTU-05239	207332	77.14	0	71.4899994134903
OTU-21673	207347	88.79	1.11	71.19000101089478
OTU-15340	207350	67.76	3.45	50.51000189781189
OTU-03201	207354	99.76	3.3	83.26000237464905
OTU-14920	207361	58.33	0	58.33000183105469
OTU-18138	207369	95.85	0	93.3499984741211
OTU-23000	207370	97.9	1.68	89.50000178813934
OTU-16129	207374	97.85	0.16	89.59999859333038
OTU-15584	207385	72.1	0	72.0999984741211
OTU-16048	207387	96.36	0	94.68000030517578
OTU-06258	207395	58.06	1.61	50.01000130176544
OTU-15405	207401	67.56	0	67.55999755859375
OTU-03427	207409	98.7	1.21	92.64999675750732
OTU-10894	207432	75.84	0	75.83999633789062
OTU-01482	207438	90.6	1.71	82.04999828338623
OTU-00085	207456	91.91	0	91.91000366210938
OTU-06735	207460	83.07	0.64	68.38000190258026
OTU-15093	207473	58.11	2.2	47.11000037193298
OTU-14929	207474	58.42	0	58.41999816894531
OTU-23502	207479	88.58	1.01	83.5300018787384
OTU-01450	207484	76.07	0.43	73.91999965906143
OTU-07736	207487	95.23	0.99	85.33000326156616
OTU-11819	207494	58.57	0	58.470001220703125
OTU-15771	207499	73.22	0	73.22000122070312
OTU-01013	207501	73.26	0.8	64.11000055074692
OTU-16491	207506	100	0	83.40000033378601
OTU-05243	207508	77.16	0	74.66000366210938
OTU-10620	207512	95.89	0	95.88999938964844
OTU-14689	207517	91.29	0	82.99999976158142
OTU-12693	207524	81.92	2.26	70.61999821662903
OTU-01323	207525	72.17	0	72.16999816894531
OTU-16561	207526	90.22	0.65	86.97000133991241
OTU-23760	207530	92.31	0	92.30999755859375
OTU-00442	207541	98.69	0	98.69000244140625
OTU-02291	207547	98.19	0.25	96.94000244140625
OTU-12792	207574	73.13	0	69.17999714612961
OTU-00099	207597	83.98	0.97	79.13000321388245
OTU-15105	207606	58.59	0	58.59000015258789
OTU-11408	207645	77.06	0.29	75.609997600317
OTU-10910	207646	83.53	1.12	67.02999901771545
OTU-08171	207647	99.18	0.86	94.88000023365021
OTU-22679	207657	95.12	0	83.53000009059906
OTU-17320	207673	100	0.75	96.25
OTU-11916	207677	74.82	0.95	61.500000059604645
OTU-08863	207678	95.51	0	89.91000211238861
OTU-23625	207679	92.07	0	92.06999969482422
OTU-15160	207680	57.39	0.99	49.66999888420105
OTU-14845	207682	83.99	0	78.58999764919281
OTU-05870	207686	91.13	0.12	90.52999726682901
OTU-14537	207703	80.02	0	74.51999652385712
OTU-05237	207706	79.85	1.45	70.09999823570251
OTU-15304	207710	56.99	0	53.470001220703125
OTU-11881	207720	94.94	1.48	87.54000234603882
OTU-15423	207722	56.03	0	56.029998779296875
OTU-01095	207734	72.27	1.52	61.200003147125244
OTU-15443	207740	58.69	0	58.689998626708984
OTU-15768	207747	62.04	0	57.39000087976456
OTU-14914	207759	72.66	0	72.66000366210938
OTU-10767	207761	79.21	1.17	73.35999929904938
OTU-01083	207779	86	0	80.4000015258789
OTU-23302	207789	93.35	5.98	50.34999656677246
OTU-06806	207790	58.62	2.67	37.74999809265137
OTU-15825	207791	73.06	0	66.85999751091003
